Areaname	STCOU	IPE010206F	IPE010206D	IPE010206N1	IPE010206N2	IPE010207F	IPE010207D	IPE010207N1	IPE010207N2	IPE010208F	IPE010208D	IPE010208N1	IPE010208N2	IPE010209F	IPE010209D	IPE010209N1	IPE010209N2	IPE110195F	IPE110195D	IPE110195N1	IPE110195N2	IPE110197F	IPE110197D	IPE110197N1	IPE110197N2	IPE110198F	IPE110198D	IPE110198N1	IPE110198N2	IPE110199F	IPE110199D	IPE110199N1	IPE110199N2	IPE110200F	IPE110200D	IPE110200N1	IPE110200N2	IPE110201F	IPE110201D	IPE110201N1	IPE110201N2
Miller, MO	29131	0	35880	0000	0000	0	36501	0000	0000	0	36069	0000	0000	0	34007	0000	0000	0	3723	0000	0000	0	3441	0000	0000	0	3285	0000	0000	0	3276	0000	0000	0	3222	0000	0000	0	3362	0000	0000
Mississippi, MO	29133	0	26874	0000	0000	0	27670	0000	0000	0	27706	0000	0000	0	29009	0000	0000	0	3946	0000	0000	0	3509	0000	0000	0	3367	0000	0000	0	2989	0000	0000	0	2726	0000	0000	0	2966	0000	0000
Moniteau, MO	29135	0	40413	0000	0000	0	43726	0000	0000	0	51942	0000	0000	0	44603	0000	0000	0	1410	0000	0000	0	1257	0000	0000	0	1310	0000	0000	0	1348	0000	0000	0	1352	0000	0000	0	1472	0000	0000
Monroe, MO	29137	0	37088	0000	0000	0	36474	0000	0000	0	39606	0000	0000	0	37859	0000	0000	0	1239	0000	0000	0	1093	0000	0000	0	1077	0000	0000	0	1077	0000	0000	0	1025	0000	0000	0	1110	0000	0000
Montgomery, MO	29139	0	36853	0000	0000	0	40298	0000	0000	0	39365	0000	0000	0	40878	0000	0000	0	1668	0000	0000	0	1532	0000	0000	0	1491	0000	0000	0	1480	0000	0000	0	1363	0000	0000	0	1362	0000	0000
Morgan, MO	29141	0	34197	0000	0000	0	36367	0000	0000	0	35533	0000	0000	0	35197	0000	0000	0	3186	0000	0000	0	2934	0000	0000	0	2879	0000	0000	0	2979	0000	0000	0	2912	0000	0000	0	3189	0000	0000
New Madrid, MO	29143	0	30940	0000	0000	0	32039	0000	0000	0	32196	0000	0000	0	34332	0000	0000	0	4968	0000	0000	0	4541	0000	0000	0	4245	0000	0000	0	3712	0000	0000	0	3484	0000	0000	0	3493	0000	0000
Newton, MO	29145	0	38866	0000	0000	0	40999	0000	0000	0	41822	0000	0000	0	39648	0000	0000	0	6665	0000	0000	0	6387	0000	0000	0	6368	0000	0000	0	6344	0000	0000	0	6172	0000	0000	0	6634	0000	0000
Nodaway, MO	29147	0	36660	0000	0000	0	38460	0000	0000	0	41135	0000	0000	0	36677	0000	0000	0	2807	0000	0000	0	2256	0000	0000	0	1987	0000	0000	0	2072	0000	0000	0	1973	0000	0000	0	2164	0000	0000
Oregon, MO	29149	0	25515	0000	0000	0	27473	0000	0000	0	26584	0000	0000	0	24907	0000	0000	0	2633	0000	0000	0	2443	0000	0000	0	2395	0000	0000	0	2181	0000	0000	0	2139	0000	0000	0	2142	0000	0000
